,timestamp,open,high,low,close,volume
0,1/1/2024 00:00,42283.58,42554.57,42261.02,42419.73,823.95971
1,1/1/2024 00:30,42419.73,42490.74,42354.19,42475.23,447.72137
2,1/1/2024 01:00,42475.23,42513.17,42431.65,42493.16,341.2479
3,1/1/2024 01:30,42493.16,42775,42493.16,42613.56,855.13066
4,1/1/2024 02:00,42613.57,42638.41,42531.1,42546.01,356.59799
5,1/1/2024 02:30,42546,42606.25,42500,42581.1,328.62181
6,1/1/2024 03:00,42581.09,42586.64,42419.39,42429.47,344.99248
7,1/1/2024 03:30,42429.47,42459.02,42230.08,42330.49,449.81143
8,1/1/2024 04:00,42330.5,42377.43,42209.46,42307.39,418.97363
9,1/1/2024 04:30,42307.4,42399.99,42283.86,42399.99,296.44397
10,1/1/2024 05:00,42399.98,42406,42297.9,42297.91,371.73868
11,1/1/2024 05:30,42297.91,42321.13,42180.77,42234.01,364.79284
12,1/1/2024 06:00,42234.01,42344.76,42208.68,42321.1,308.85704
13,1/1/2024 06:30,42321.1,42424.82,42309.15,42396.69,292.51546
14,1/1/2024 07:00,42396.69,42500,42396.68,42487.7,408.0417
15,1/1/2024 07:30,42487.7,42500,42432.56,42492.46,245.63548
16,1/1/2024 08:00,42492.46,42537.53,42452.58,42482,230.6424
17,1/1/2024 08:30,42482,42556.5,42461.1,42549.99,196.55125
18,1/1/2024 09:00,42550,42658.44,42537.18,42588.01,381.42169
19,1/1/2024 09:30,42588.01,42699.32,42588,42649.69,498.20322
20,1/1/2024 10:00,42649.69,42708.93,42628,42666.42,408.70667
21,1/1/2024 10:30,42666.41,42749.36,42666.41,42691.1,448.11184
22,1/1/2024 11:00,42691.1,42762.39,42653.33,42681.1,465.58083
23,1/1/2024 11:30,42681.11,42699.99,42605.21,42690.2,319.58484
24,1/1/2024 12:00,42690.21,42739.22,42611.45,42684.15,296.54569
25,1/1/2024 12:30,42684.16,42780,42643.68,42648.38,488.98282
26,1/1/2024 13:00,42648.37,42733.81,42612.76,42717.27,273.94143
27,1/1/2024 13:30,42717.28,42748,42670,42715.54,223.26097
28,1/1/2024 14:00,42715.54,42715.55,42580,42621.09,363.53018
29,1/1/2024 14:30,42621.1,42661.89,42586.5,42612.24,347.48134
30,1/1/2024 15:00,42612.24,42733.28,42586.51,42683.2,290.25964
31,1/1/2024 15:30,42683.21,42847.07,42601.1,42783.05,652.44199
32,1/1/2024 16:00,42783.05,42856,42664.42,42723.04,607.93238
33,1/1/2024 16:30,42723.03,42782.6,42703.39,42725.15,310.77818
34,1/1/2024 17:00,42725.15,42781.09,42718.72,42731.11,374.73086
35,1/1/2024 17:30,42731.12,42824.9,42704.42,42812.7,302.60592
36,1/1/2024 18:00,42812.71,43208.86,42812.7,43063.05,1451.17842
37,1/1/2024 18:30,43063.06,43178.65,43018.86,43111.1,692.13055
38,1/1/2024 19:00,43111.1,43316.88,43103.64,43262.01,701.15047
39,1/1/2024 19:30,43262.01,43550,43234.16,43517.99,1246.46486
40,1/1/2024 20:00,43517.98,43757.13,43510.71,43699.56,1760.76919
41,1/1/2024 20:30,43699.56,43829.99,43636.39,43687.86,1144.30376
42,1/1/2024 21:00,43687.85,43792.59,43632,43656.15,800.95476
43,1/1/2024 21:30,43656.14,43656.15,43480.76,43619.21,740.6365
44,1/1/2024 22:00,43619.22,43661.1,43361.6,43471.1,702.60096
45,1/1/2024 22:30,43471.11,43531.49,43439.17,43529.93,321.76276
46,1/1/2024 23:00,43529.94,44000,43529.93,43989.99,1762.46222
47,1/1/2024 23:30,43989.99,44184.1,43929.75,44179.55,1713.50829
48,1/2/2024 00:00,44179.55,44844,44148.34,44609.79,4152.21577
49,1/2/2024 00:30,44609.78,45200,44553.92,45056,2834.0439
50,1/2/2024 01:00,45056,45372.79,44832.01,44930.24,3078.9071
51,1/2/2024 01:30,44930.24,45010,44686,44855.96,1318.95666
52,1/2/2024 02:00,44855.96,45100,44855.95,45099.99,1379.38082
53,1/2/2024 02:30,45099.99,45381.42,45073.9,45378.96,1636.66153
54,1/2/2024 03:00,45378.96,45469.43,45131.1,45316.71,1352.77677
55,1/2/2024 03:30,45316.7,45500,45312.1,45402.38,1340.34404
56,1/2/2024 04:00,45402.38,45468.99,45240.38,45362.27,1177.0056
57,1/2/2024 04:30,45362.27,45362.28,45170,45179.8,1091.27012
58,1/2/2024 05:00,45179.8,45324.72,45121.96,45261.08,950.52137
59,1/2/2024 05:30,45261.08,45318.44,45133.17,45179.48,666.76283
60,1/2/2024 06:00,45179.48,45283.44,45130,45250.2,596.56532
61,1/2/2024 06:30,45250.2,45308.15,45168.74,45168.75,793.773
62,1/2/2024 07:00,45168.75,45643.75,45168.74,45461.1,1589.75405
63,1/2/2024 07:30,45461.1,45528,45278.9,45455.53,1522.77073
64,1/2/2024 08:00,45455.52,45849.84,45326.6,45748.52,1847.39437
65,1/2/2024 08:30,45748.53,45852.93,45576.13,45759.3,1475.8227
