,timestamp,open,high,low,close,volume
0,2025-01-01 00:00:00,93576.00000000,93702.15000000,93489.03000000,93656.18000000,175.85673000
1,2025-01-01 00:15:00,93656.19000000,93898.05000000,93614.95000000,93761.90000000,95.41749000
2,2025-01-01 00:30:00,93761.90000000,93963.67000000,93761.89000000,93885.01000000,94.36416000
3,2025-01-01 00:45:00,93885.00000000,94509.42000000,93864.44000000,94401.14000000,390.35172000
4,2025-01-01 01:00:00,94401.13000000,94408.72000000,93880.00000000,94153.05000000,284.57018000
5,2025-01-01 01:15:00,94153.04000000,94153.05000000,93819.60000000,93825.86000000,102.66232000
6,2025-01-01 01:30:00,93825.86000000,93989.37000000,93825.86000000,93923.14000000,78.97889000
7,2025-01-01 01:45:00,93923.14000000,93945.25000000,93578.77000000,93607.74000000,120.32317000
8,2025-01-01 02:00:00,93607.74000000,93805.04000000,93594.56000000,93800.00000000,104.71689000
9,2025-01-01 02:15:00,93800.00000000,93805.16000000,93689.48000000,93742.52000000,48.21903000
10,2025-01-01 02:30:00,93742.51000000,93921.86000000,93742.51000000,93921.86000000,39.83390000
11,2025-01-01 02:45:00,93921.86000000,94105.12000000,93912.00000000,94098.91000000,84.01063000
12,2025-01-01 03:00:00,94098.90000000,94098.91000000,93959.89000000,93976.01000000,65.06529000
13,2025-01-01 03:15:00,93976.01000000,93976.01000000,93766.23000000,93830.89000000,47.42318000
14,2025-01-01 03:30:00,93830.90000000,93891.15000000,93800.00000000,93857.04000000,67.83649000
15,2025-01-01 03:45:00,93857.03000000,93867.35000000,93728.22000000,93838.04000000,40.66806000
16,2025-01-01 04:00:00,93838.04000000,93838.04000000,93689.96000000,93711.19000000,87.46863000
17,2025-01-01 04:15:00,93711.18000000,93771.99000000,93679.07000000,93738.09000000,53.53604000
18,2025-01-01 04:30:00,93738.09000000,93738.10000000,93616.82000000,93645.13000000,45.89524000
19,2025-01-01 04:45:00,93645.12000000,93670.00000000,93500.00000000,93553.91000000,92.56918000
20,2025-01-01 05:00:00,93553.91000000,93680.00000000,93547.40000000,93638.50000000,44.42431000
