,economy,time,AG.LND.TOTL.K2,EN.ATM.GHGT.KT.CE,IS.RRS.GOOD.MT.K6,IS.RRS.PASG.KM,IS.RRS.TOTL.KM,NY.GDP.MKTP.KD
5235,TON,YR2019,720.0,310.508827,,,,485760247.385077
5236,TON,YR2020,720.0,268.338502,,,,488133892.116442
5237,TON,YR2021,720.0,,,,,475112890.400839
5238,TSA,YR2000,4772630.0,2127841.464502,3612.0,11217.85,,1107084856192.64
5239,TSA,YR2001,4772630.0,2158171.163468,4520.0,11899.1,,1156209089065.28
5240,TSA,YR2002,4772630.0,2191213.876124,4573.0,12430.5,,1197823365467.6
5241,TSA,YR2003,4772630.0,2246715.574079,2882.5,13282.0,,1283780506227.37
5242,TSA,YR2004,4770947.0,2354350.627846,2846.0,13863.5,,1380699978777.52
5243,TSA,YR2005,4770947.0,2446008.130111,2915.5,14297.8,,1485813213335.04
5244,TSA,YR2006,4770947.0,2568213.394125,,,,1599025853721.65
5245,TSA,YR2007,4770947.0,2735548.088539,3115.0,15606.5,,1713197675237.55
5246,TSA,YR2008,4770947.0,2851560.214652,6187.0,24731.0,,1769701789128.17
5247,TSA,YR2009,4770947.0,3017931.442766,,,,1892682729480.56
5248,TSA,YR2010,4770947.0,3137950.54379,,,,2032093701163.31
5249,TSA,YR2011,4770947.0,3273455.485445,1225.0,14335.5,,2135136081279.89
5250,TSA,YR2012,4770947.0,3435070.905421,492.2405,8787.0,,2250034118432.81
5251,TSA,YR2013,4770947.0,3517252.947986,472.1205,8253.0,,2385243915238.2
5252,TSA,YR2014,4770947.0,3723543.299961,1090.0,19779.0,,2548584609603.74
5253,TSA,YR2015,4770130.0,3769711.425226,1997.5,14499.5,,2733399604482.97
5254,TSA,YR2016,4770157.0,3852057.673014,4774.0,21201.0,,2945949220942.21
5255,TSA,YR2017,4770157.0,4013855.940481,,,,3137543535828.07
5256,TSA,YR2018,4770124.0,4188043.23806,,,,3336300796530.45
5257,TSA,YR2019,4770124.47,4169332.448237,,,,3467221836250.13
5258,TSA,YR2020,4770120.0,3959730.125124,,,,3306897677758.9
5259,TSA,YR2021,4770120.0,,,,,3579868538486.54
5260,TSS,YR2000,23617391.0,1529884.376927,,,,833108478353.512
5261,TSS,YR2001,23617391.0,1570748.311527,,,,868555531493.352
5262,TSS,YR2002,23617391.0,1603878.024563,,,,923387949941.538
5263,TSS,YR2003,23617391.0,1682842.203523,,,,961302455507.509
5264,TSS,YR2004,23765970.922,1734135.291572,,,,1024330758494.12
5265,TSS,YR2005,23766016.092,1784038.833036,,,,1085810210491.73
5266,TSS,YR2006,23766008.252,1776649.401684,,,,1151704808728.91
5267,TSS,YR2007,23766054.665,1834178.792681,,,,1222512411960.18
5268,TSS,YR2008,23766016.89,1904755.276058,,,,1285377758517.46
5269,TSS,YR2009,23766049.284,1877624.646026,,,,1323849951407.63
5270,TSS,YR2010,23766737.055,1978043.182694,,,,1402392363972.07
5271,TSS,YR2011,23766987.05,1999818.685023,,,,1461259328882.19
5272,TSS,YR2012,23890917.142,2020481.638953,,,,1501184460847.1
5273,TSS,YR2013,23890879.326,2069767.011099,,,,1577115218737.13
5274,TSS,YR2014,23890832.467,2117897.345477,,,,1653872013499.23
5275,TSS,YR2015,23890886.128,2125318.955504,,,,1701776666914.07
5276,TSS,YR2016,23890893.968,2170024.958688,,,,1723562337214.91
5277,TSS,YR2017,23890882.053,2195008.754076,,,,1765690660203.05
5278,TSS,YR2018,23890897.143,2233899.522371,,,,1812418264499.67
5279,TSS,YR2019,23890909.404,2293075.250726,,,,1858805141880.29
5280,TSS,YR2020,23890863.094,2258595.510089,,,,1822338540796.5
5281,TSS,YR2021,23890863.094,,,,,1898021994991.11
5282,TTO,YR2000,5130.0,15788.3099,,,,13233198283.7132
5283,TTO,YR2001,5130.0,17525.32019,,,,13784827327.7362
5284,TTO,YR2002,5130.0,19301.71908,,,,14878889053.614
5285,TTO,YR2003,5130.0,23302.19677,,,,17027547865.3618
5286,TTO,YR2004,5130.0,24368.51265,,,,18381246691.6671
5287,TTO,YR2005,5130.0,26565.82674,,,,19522526880.2381
5288,TTO,YR2006,5130.0,30230.89042,,,,22101073671.7906
5289,TTO,YR2007,5130.0,30890.97909,,,,23151805060.304
5290,TTO,YR2008,5130.0,30545.21996,,,,23937053416.7777
